GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,GPA,Research,Chance_of_Admission
319,103,4,4.5,3.5,3.464,0,0.76
315,106,3,4.5,3.5,3.368,0,0.72
317,107,2,3.5,3,3.312,0,0.66
314,108,3,4.5,3.5,3.256,0,0.64
316,109,4,4.5,3.5,3.504,1,0.74
318,106,2,4,4,3.168,1,0.64
299,97,3,5,3.5,3.064,0,0.38
298,98,2,4,3,3.212,0,0.34
301,97,2,3,3,3.152,1,0.44
303,99,3,2,2.5,3.064,0,0.36
304,100,4,1.5,2.5,3.136,0,0.42
306,100,2,3,3,3.2,0,0.48
331,120,3,4,4,3.584,1,0.86
332,119,4,5,4.5,3.696,1,0.9
323,113,3,4,4,3.552,1,0.79
322,107,3,3.5,3.5,3.384,1,0.71
312,105,2,2.5,3,3.248,0,0.64
314,106,2,4,3.5,3.3,0,0.62
317,104,2,4.5,4,3.388,0,0.57
326,112,3,3.5,3,3.62,1,0.74
316,110,3,4,4.5,3.512,1,0.69
329,111,4,4.5,4.5,3.672,1,0.87
338,117,4,3.5,4.5,3.784,1,0.91
331,116,5,5,5,3.752,1,0.93
304,103,5,5,4,3.456,0,0.68
305,108,5,3,3,3.392,0,0.61
321,109,4,4,4,3.472,1,0.69
301,107,3,3.5,3.5,3.336,1,0.62
320,110,2,4,3.5,3.424,0,0.72
311,105,3,3.5,3,3.38,1,0.59
310,106,4,4.5,4.5,3.616,1,0.66
299,102,3,4,3.5,3.448,0,0.56
290,104,4,2,2.5,2.984,0,0.45
296,99,2,3,3.5,2.912,0,0.47
327,104,5,3,3.5,3.536,1,0.71
335,117,5,5,5,3.824,1,0.94
334,119,5,4.5,4.5,3.792,1,0.94
310,106,4,1.5,2.5,3.344,0,0.57
308,108,3,3.5,3.5,3.288,0,0.61
301,106,4,2.5,3,3.388,0,0.57
300,100,3,2,3,3.464,1,0.64
323,113,3,4,3,3.728,1,0.85
319,112,3,2.5,2,3.484,1,0.78
326,112,3,3.5,3,3.64,1,0.84
333,118,5,5,5,3.74,1,0.92
339,114,5,4,4.5,3.904,1,0.96
303,105,5,5,4.5,3.46,0,0.77
309,105,5,3.5,3.5,3.424,0,0.71
323,112,5,4,4.5,3.512,0,0.79
333,113,5,4,4,3.712,1,0.89
314,109,4,3.5,4,3.508,1,0.82
312,103,3,5,4,3.38,0,0.76
316,100,2,1.5,3,3.264,1,0.71
326,116,2,4.5,3,3.632,1,0.8
318,109,1,3.5,3.5,3.648,0,0.78
329,110,2,4,3,3.66,1,0.84
332,118,2,4.5,3.5,3.744,1,0.9
331,115,5,4,3.5,3.776,1,0.92
340,120,4,4.5,4,3.968,1,0.97
325,112,2,3,3.5,3.584,1,0.8
320,113,2,2,2.5,3.456,1,0.81
315,105,3,2,2.5,3.392,0,0.75
326,114,3,3,3,3.644,1,0.83
339,116,4,4,3.5,3.92,1,0.96
311,106,2,3.5,3,3.304,1,0.79
334,114,4,4,4,3.772,1,0.93
332,116,5,5,5,3.712,1,0.94
321,112,5,5,5,3.624,1,0.86
324,105,3,3,4,3.5,0,0.79
326,108,3,3,3.5,3.556,0,0.8
312,109,3,3,3,3.476,0,0.77
315,105,3,2,2.5,3.336,0,0.7
309,104,2,2,2.5,3.304,0,0.65
306,106,2,2,2.5,3.256,0,0.61
297,100,1,1.5,2,3.16,0,0.52
315,103,1,1.5,2,3.144,0,0.57
298,99,1,1.5,3,2.984,0,0.53
318,109,3,3,3,3.4,0,0.67
317,105,3,3.5,3,3.424,0,0.68
329,111,4,4.5,4,3.604,1,0.81
322,110,5,4.5,4,3.588,0,0.78
302,102,3,3.5,5,3.332,0,0.65
313,102,3,2,3,3.308,0,0.64
293,97,2,2,4,3.12,1,0.64
311,99,2,2.5,3,3.192,0,0.65
312,101,2,2.5,3.5,3.216,1,0.68
334,117,5,4,4.5,3.628,1,0.89
322,110,4,4,5,3.652,1,0.86
323,113,4,4,4.5,3.692,1,0.89
321,111,4,4,4,3.588,1,0.87
320,111,4,4.5,3.5,3.548,1,0.85
329,119,4,4.5,4.5,3.664,1,0.9
319,110,3,3.5,3.5,3.616,0,0.82
309,108,3,2.5,3,3.248,0,0.72
307,102,3,3,3,3.308,0,0.73
300,104,3,3.5,3,3.264,0,0.71
305,107,2,2.5,2.5,3.368,0,0.71
299,100,2,3,3.5,3.152,0,0.68
314,110,3,4,4,3.52,0,0.75
316,106,2,2.5,4,3.328,0,0.72
327,113,4,4.5,4.5,3.644,1,0.89
317,107,3,3.5,3,3.472,1,0.84
335,118,5,4.5,3.5,3.776,1,0.93
331,115,5,4.5,3.5,3.744,1,0.93
324,112,5,5,5,3.632,1,0.88
324,111,5,4.5,4,3.664,1,0.9
323,110,5,4,5,3.592,1,0.87
322,114,5,4.5,4,3.576,1,0.86
336,118,5,4.5,5,3.812,1,0.94
316,109,3,3.5,3,3.504,0,0.77
307,107,2,3,3.5,3.408,1,0.78
306,105,2,3,2.5,3.304,0,0.73
310,106,2,3.5,2.5,3.332,0,0.73
311,104,3,4.5,4.5,3.372,0,0.7
313,107,3,4,4.5,3.476,0,0.72
317,103,3,2.5,3,3.416,1,0.73
315,110,2,3.5,3,3.384,1,0.72
340,120,5,4.5,4.5,3.964,1,0.97
334,120,5,4,5,3.948,1,0.97
298,105,3,3.5,4,3.416,0,0.69
295,99,2,2.5,3,3.06,0,0.57
315,99,2,3.5,3,3.156,0,0.63
310,102,3,3.5,4,3.208,1,0.66
305,106,2,3,3,3.264,0,0.64
301,104,3,3.5,4,3.248,1,0.68
325,108,4,4.5,4,3.624,1,0.79
328,110,4,5,4,3.656,1,0.82
338,120,4,5,5,3.864,1,0.95
333,119,5,5,4.5,3.912,1,0.96
331,117,4,4.5,5,3.768,1,0.94
330,116,5,5,4.5,3.744,1,0.93
322,112,4,4.5,4.5,3.704,1,0.91
321,109,4,4,4,3.652,1,0.85
324,110,4,3,3.5,3.588,1,0.84
312,104,3,3.5,3.5,3.368,0,0.74
313,103,3,4,4,3.5,0,0.76
316,110,3,3.5,4,3.424,0,0.75
324,113,4,4.5,4,3.516,0,0.76
308,109,2,3,4,3.38,0,0.71
305,105,2,3,2,3.292,0,0.67
296,99,2,2.5,2.5,3.212,0,0.61
306,110,2,3.5,4,3.38,0,0.63
312,110,2,3.5,3,3.412,0,0.64
318,112,3,4,3.5,3.468,0,0.71
324,111,4,3,3,3.604,1,0.82
313,104,3,4,4.5,3.46,0,0.73
319,106,3,3.5,2.5,3.332,1,0.74
312,107,2,2.5,3.5,3.308,0,0.69
304,100,2,2.5,3.5,3.228,0,0.64
330,113,5,5,4,3.724,1,0.91
326,111,5,4.5,4,3.692,1,0.88
325,112,4,4,4.5,3.668,1,0.85
329,114,5,4.5,5,3.676,1,0.86
310,104,3,2,3.5,3.348,0,0.7
299,100,1,1.5,2,3.156,0,0.59
296,101,1,2.5,3,3.072,0,0.6
317,103,2,2.5,2,3.26,0,0.65
324,115,3,3.5,3,3.504,1,0.7
325,114,3,3.5,3,3.616,1,0.76
314,107,2,2.5,4,3.424,0,0.63
328,110,4,4,2.5,3.608,1,0.81
316,105,3,3,3.5,3.492,0,0.72
311,104,2,2.5,3.5,3.392,0,0.71
324,110,3,3.5,4,3.548,1,0.8
321,111,3,3.5,4,3.532,1,0.77
320,104,3,3,2.5,3.428,1,0.74
316,99,2,2.5,3,3.6,0,0.7
318,100,2,2.5,3.5,3.416,1,0.71
335,115,4,4.5,4.5,3.872,1,0.93
321,114,4,4,5,3.648,0,0.85
307,110,4,4,4.5,3.348,0,0.79
309,99,3,4,4,3.424,0,0.76
324,100,3,4,5,3.456,1,0.78
326,102,4,5,5,3.504,1,0.77
331,119,4,5,4.5,3.736,1,0.9
327,108,5,5,3.5,3.652,1,0.87
312,104,3,3.5,4,3.236,0,0.71
308,103,2,2.5,4,3.344,1,0.7
324,111,3,2.5,1.5,3.516,1,0.7
325,110,2,3,2.5,3.504,1,0.75
313,102,3,2.5,2.5,3.472,0,0.71
312,105,2,2,2.5,3.38,0,0.72
314,107,3,3,3.5,3.268,1,0.73
327,113,4,4.5,5,3.656,0,0.83
308,108,4,4.5,5,3.336,0,0.77
306,105,2,2.5,3,3.288,1,0.72
299,96,2,1.5,2,3.144,0,0.54
294,95,1,1.5,1.5,3.056,0,0.49
312,99,1,1,1.5,3.204,1,0.52
315,100,1,2,2.5,3.18,0,0.58
322,110,3,3.5,3,3.584,1,0.78
329,113,5,5,4.5,3.78,1,0.89
320,101,2,2.5,3,3.448,0,0.7
308,103,2,3,3.5,3.396,0,0.66
304,102,2,3,4,3.492,0,0.67
311,102,3,4.5,4,3.456,1,0.68
317,110,3,4,4.5,3.644,1,0.8
312,106,3,4,3.5,3.516,1,0.81
321,111,3,2.5,3,3.56,1,0.8
340,112,4,5,4.5,3.864,1,0.94
331,116,5,4,4,3.704,1,0.93
336,118,5,4.5,4,3.676,1,0.92
324,114,5,5,4.5,3.632,1,0.89
314,104,4,5,5,3.608,0,0.82
313,109,3,4,3.5,3.6,0,0.79
307,105,2,2.5,3,3.06,0,0.58
300,102,2,1.5,2,3.148,0,0.56
302,99,2,1,2,3.188,0,0.56
312,98,1,3.5,3,3.272,1,0.64
316,101,2,2.5,2,3.328,1,0.61
317,100,2,3,2.5,3.428,0,0.68
310,107,3,3.5,3.5,3.468,0,0.76
320,120,3,4,4.5,3.644,0,0.86
330,114,3,4.5,4.5,3.696,1,0.9
305,112,3,3,3.5,3.46,0,0.71
309,106,2,2.5,2.5,3.2,0,0.62
319,108,2,2.5,3,3.504,0,0.66
322,105,2,3,3,3.38,1,0.65
323,107,3,3.5,3.5,3.42,1,0.73
313,106,2,2.5,2,3.372,0,0.62
321,109,3,3.5,3.5,3.52,1,0.74
323,110,3,4,3.5,3.64,1,0.79
325,112,4,4,4,3.6,1,0.8
312,108,3,3.5,3,3.412,0,0.69
308,110,4,3.5,3,3.44,0,0.7
320,104,3,3,3.5,3.496,1,0.76
328,108,4,4.5,4,3.672,1,0.84
311,107,4,4.5,4.5,3.6,1,0.78
301,100,3,3.5,3,3.216,0,0.67
305,105,2,3,4,3.252,0,0.66
308,104,2,2.5,3,3.228,0,0.65
298,101,2,1.5,2,3.144,0,0.54
300,99,1,1,2.5,3.204,0,0.58
324,111,3,2.5,2,3.52,1,0.79
327,113,4,3.5,3,3.476,1,0.8
317,106,3,4,3.5,3.4,1,0.75
323,104,3,4,4,3.376,1,0.73
314,107,2,2.5,4,3.308,0,0.72
305,102,2,2,2.5,3.272,0,0.62
315,104,3,3,2.5,3.332,0,0.67
326,116,3,3.5,4,3.656,1,0.81
299,100,3,2,2,3.208,0,0.63
295,101,2,2.5,2,3.144,0,0.69
324,112,4,4,3.5,3.508,1,0.8
297,96,2,2.5,1.5,3.156,0,0.43
327,113,3,3.5,3,3.464,1,0.8
311,105,2,3,2,3.248,1,0.73
308,106,3,3.5,2.5,3.284,1,0.75
319,108,3,3,3.5,3.416,1,0.71
312,107,4,4.5,4,3.46,1,0.73
325,111,4,4,4.5,3.644,1,0.83
319,110,3,3,2.5,3.516,0,0.72
332,118,5,5,5,3.788,1,0.94
323,108,5,4,4,3.496,1,0.81
324,107,5,3.5,4,3.464,1,0.81
312,107,3,3,3,3.384,1,0.75
326,110,3,3.5,3.5,3.504,1,0.79
308,106,3,3,3,3.296,0,0.58
305,103,2,2.5,3.5,3.252,0,0.59
295,96,2,1.5,2,2.936,0,0.47
316,98,1,1.5,2,2.972,0,0.49
304,97,2,1.5,2,3.056,0,0.47
299,94,1,1,1,2.936,0,0.42
302,99,1,2,2,2.9,0,0.57
313,101,3,2.5,3,3.216,0,0.62
318,107,3,3,3.5,3.308,1,0.74
325,110,4,3.5,4,3.468,1,0.73
303,100,2,3,3.5,3.224,1,0.64
300,102,3,3.5,2.5,3.268,0,0.63
297,98,2,2.5,3,3.068,0,0.59
317,106,2,2,3.5,3.248,0,0.73
327,109,3,3.5,4,3.508,1,0.79
301,104,2,3.5,3.5,3.156,1,0.68
314,105,2,2.5,2,3.056,0,0.7
321,107,2,2,1.5,3.376,0,0.81
322,110,3,4,5,3.456,1,0.85
334,116,4,4,3.5,3.816,1,0.93
338,115,5,4.5,5,3.692,1,0.91
306,103,2,2.5,3,3.344,0,0.69
313,102,3,3.5,4,3.56,1,0.77
330,114,4,4.5,3,3.668,1,0.86
320,104,3,3.5,4.5,3.336,1,0.74
311,98,1,1,2.5,2.984,0,0.57
298,92,1,2,2,3.152,0,0.51
301,98,1,2,3,3.212,1,0.67
310,103,2,2.5,2.5,3.296,0,0.72
324,110,3,3.5,3,3.688,1,0.89
336,119,4,4.5,4,3.848,1,0.95
321,109,3,3,3,3.416,1,0.79
315,105,2,2,2.5,3.06,0,0.39
304,101,2,2,2.5,3.064,0,0.38
297,96,2,2.5,2,2.972,0,0.34
290,100,1,1.5,2,3.024,0,0.47
303,98,1,2,2.5,3.06,0,0.56
311,99,1,2.5,3,3.372,1,0.71
322,104,3,3.5,4,3.536,1,0.78
319,105,3,3,3.5,3.468,1,0.73
324,110,4,4.5,4,3.66,1,0.82
300,100,3,3,3.5,3.304,0,0.62
340,113,4,5,5,3.896,1,0.96
335,117,5,5,5,3.928,1,0.96
302,101,2,2.5,3.5,3.184,0,0.46
307,105,2,2,3.5,3.24,0,0.53
296,97,2,1.5,2,3.12,0,0.49
320,108,3,3.5,4,3.376,1,0.76
314,102,2,2,2.5,3.296,0,0.64
318,106,3,2,3,3.46,0,0.71
326,112,4,4,3.5,3.648,1,0.84
317,104,2,3,3,3.504,0,0.77
329,111,4,4.5,4,3.692,1,0.89
324,110,3,3.5,3.5,3.616,1,0.82
325,107,3,3,3.5,3.644,1,0.84
330,116,4,5,4.5,3.78,1,0.91
312,103,3,3.5,4,3.512,0,0.67
333,117,4,5,4,3.864,1,0.95
304,100,2,3.5,3,3.288,0,0.63
315,105,2,3,3,3.336,0,0.66
324,109,3,3.5,3,3.576,1,0.78
330,116,4,4,3.5,3.692,1,0.91
311,101,3,2,2.5,3.056,1,0.62
302,99,3,2.5,3,2.98,0,0.52
322,103,4,3,2.5,3.208,1,0.61
298,100,3,2.5,4,3.18,1,0.58
297,101,3,2,4,3.068,1,0.57
300,98,1,2,2.5,3.208,0,0.61
301,96,1,3,4,3.024,0,0.54
313,94,2,2.5,1.5,3.252,0,0.56
314,102,4,2.5,2,3.152,1,0.59
317,101,3,3,2,3.176,1,0.49
321,110,4,3.5,4,3.34,1,0.72
327,106,4,4,4.5,3.5,1,0.76
315,104,3,4,2.5,3.24,0,0.65
316,103,3,3.5,2,3.072,0,0.52
309,111,2,2.5,4,3.212,0,0.6
308,102,2,2,3.5,3.192,1,0.58
299,100,3,2,3,2.968,0,0.42
321,112,3,3,4.5,3.58,1,0.77
322,112,4,3.5,2.5,3.608,1,0.73
334,119,5,4.5,5,3.816,1,0.94
325,114,5,4,5,3.784,1,0.91
323,111,5,4,5,3.944,1,0.92
312,106,3,3,5,3.428,0,0.71
310,101,3,3.5,5,3.46,1,0.71
316,103,2,2,4.5,3.496,0,0.69
340,115,5,5,4.5,3.624,1,0.95
311,104,3,4,3.5,3.252,1,0.74
320,112,2,3.5,3.5,3.512,1,0.73
324,112,4,4.5,4,3.688,1,0.86
316,111,4,4,5,3.416,0,0.71
306,103,3,3.5,3,3.284,0,0.64
309,105,2,2.5,4,3.072,0,0.55
310,110,1,1.5,4,2.892,1,0.58
317,106,1,1.5,3.5,3.06,1,0.61
318,110,1,2.5,3.5,3.416,1,0.67
312,105,2,1.5,3,3.384,0,0.66
305,104,2,2.5,1.5,3.116,0,0.53
332,112,1,1.5,3,3.464,1,0.79
331,116,4,4.5,4.5,3.776,1,0.92
321,114,5,4.5,4.5,3.664,1,0.87
324,113,5,4,5,3.7,1,0.92
328,116,5,4.5,5,3.632,1,0.91
327,118,4,5,5,3.868,1,0.93
320,108,3,3.5,5,3.588,1,0.84
312,109,2,2.5,4,3.608,0,0.8
315,101,3,3.5,4.5,3.652,0,0.79
320,112,4,3,4.5,3.544,1,0.82
324,113,4,4.5,4.5,3.7,1,0.89
328,116,4,5,3.5,3.84,1,0.93
319,103,3,2.5,4,3.504,1,0.73
310,105,2,3,3.5,3.204,0,0.71
305,102,2,1.5,2.5,3.056,0,0.59
299,100,2,2,2,3.152,0,0.51
295,99,1,2,1.5,3.028,0,0.37
312,100,1,3,3,3.412,1,0.69
329,113,4,4,3.5,3.744,1,0.89
319,105,4,4,4.5,3.464,1,0.77
301,102,3,2.5,2,3.252,1,0.68
307,105,4,3,3,3.176,0,0.62
304,107,3,3.5,3,3.144,0,0.57
298,97,2,2,3,2.884,0,0.45
305,96,4,3,4.5,3.304,0,0.54
314,99,4,3.5,4.5,3.492,1,0.71
318,101,5,3.5,5,3.512,1,0.78
323,110,4,4,5,3.552,1,0.81
326,114,4,4,3.5,3.664,1,0.86
320,110,5,4,4,3.708,1,0.87
311,103,3,2,4,3.236,0,0.64
327,116,4,4,4.5,3.792,1,0.9
316,102,2,4,3.5,3.26,0,0.67
308,105,4,3,2.5,3.18,1,0.67
300,101,3,3.5,2.5,3.152,0,0.59
304,104,3,2.5,2,3.248,0,0.62
309,105,4,3.5,2,3.272,0,0.65
318,103,3,4,4.5,3.396,1,0.71
325,110,4,4.5,4,3.584,1,0.79
321,102,3,3.5,4,3.604,1,0.8
323,107,4,3,2.5,3.392,1,0.78
328,113,4,4,2.5,3.508,1,0.83
304,103,5,5,3,3.168,0,0.71
317,106,3,3.5,3,3.156,1,0.73
311,101,2,2.5,3.5,3.336,1,0.7
319,102,3,2.5,2.5,3.348,0,0.68
327,115,4,3.5,4,3.656,0,0.79
322,112,3,3,4,3.448,1,0.76
302,110,3,4,4.5,3.4,0,0.65
307,105,2,2.5,4.5,3.248,1,0.67
297,99,4,3,3.5,3.124,0,0.54
298,101,4,2.5,4.5,3.076,1,0.53
300,95,2,3,1.5,3.288,1,0.62
301,99,3,2.5,2,3.38,1,0.68
332,108,5,4.5,4,3.608,1,0.87
337,117,5,5,5,3.948,1,0.96
330,120,5,4.5,5,3.824,1,0.93
312,103,4,4,5,3.372,0,0.73
327,113,4,4.5,4.5,3.616,0,0.84
337,118,4,4.5,4.5,3.86,1,0.92
324,107,4,4,4.5,3.548,1,0.76
316,104,3,3,3.5,3.2,1,0.72
322,110,3,3.5,2.5,3.468,1,0.8
314,103,2,2,3,3.284,0,0.65
330,115,5,4.5,3,3.736,1,0.9
321,109,3,3,4,3.28,1,0.75
308,101,2,3,4,3.16,0,0.68
302,102,1,2,1.5,3.2,0,0.5
323,108,3,3.5,3,3.44,0,0.45
325,106,3,3.5,4,3.36,1,0.52
327,111,4,4,4.5,3.6,1,0.84
328,112,4,4,4.5,3.64,1,0.78
307,109,3,4,3,3.2,1,0.62
311,104,3,3.5,2,3.28,1,0.61
314,106,3,3.5,2.5,3.32,0,0.54
317,107,3,4,3,3.48,0,0.66
319,105,3,4,3,3.2,1,0.65
318,111,3,4,3,3.52,0,0.63
303,102,3,3.5,3,3.4,0,0.62
312,107,3,3,2,3.16,1,0.64
325,114,4,3,2,3.36,0,0.7
328,116,5,5,5,3.8,1,0.94
334,119,5,5,4.5,3.88,1,0.95
336,119,5,4,3.5,3.92,1,0.97
340,120,5,4.5,4.5,3.84,1,0.94
322,109,5,4.5,3.5,3.52,0,0.76
298,98,2,1.5,2.5,3,1,0.44
295,93,1,2,2,2.88,0,0.46
310,99,2,1.5,2,2.92,0,0.54
300,97,2,3,3,3.24,1,0.65
327,103,3,4,4,3.32,1,0.74
338,118,4,3,4.5,3.76,1,0.91
340,114,5,4,4,3.84,1,0.9
331,112,5,4,5,3.92,1,0.94
320,110,5,5,5,3.68,1,0.88
299,106,2,4,4,3.36,0,0.64
300,105,1,1,2,3.12,0,0.58
304,105,1,3,1.5,3,0,0.52
307,108,2,4,3.5,3.08,0,0.48
308,110,3,3.5,3,3.2,1,0.46
316,105,2,2.5,2.5,3.28,1,0.49
313,107,2,2.5,2,3.4,1,0.53
332,117,4,4.5,4,3.64,0,0.87
326,113,5,4.5,4,3.76,1,0.91
322,110,5,5,4,3.64,1,0.88
329,114,5,4,5,3.72,1,0.86
339,119,5,4.5,4,3.88,0,0.89
321,110,3,3.5,5,3.54,1,0.82
327,111,4,3,4,3.36,1,0.78
313,98,3,2.5,4.5,3.32,1,0.76
312,100,2,1.5,3.5,3.16,1,0.56
334,116,4,4,3,3.2,1,0.78
324,112,4,4,2.5,3.24,1,0.72
322,110,3,3,3.5,3.2,0,0.7
320,103,3,3,3,3.08,0,0.64
316,102,3,2,3,2.96,0,0.64
298,99,2,4,2,3.04,0,0.46
300,99,1,3,2,2.72,1,0.36
311,104,2,2,2,3.32,0,0.42
309,100,2,3,3,3.24,0,0.48
307,101,3,4,3,3.28,0,0.47
304,105,2,3,3,3.28,1,0.54
315,107,2,4,3,3.4,1,0.56
325,111,3,3,3.5,3.48,0,0.52
325,112,4,3.5,3.5,3.568,0,0.55
327,114,3,3,3,3.608,0,0.61
316,107,2,3.5,3.5,3.456,1,0.57
318,109,3,3.5,4,3.688,1,0.68
328,115,4,4.5,4,3.664,1,0.78
332,118,5,5,5,3.856,1,0.94
336,112,5,5,5,3.904,1,0.96
321,111,5,5,5,3.78,1,0.93
314,108,4,4.5,4,3.616,1,0.84
314,106,3,3,5,3.56,0,0.74
329,114,2,2,4,3.424,1,0.72
327,112,3,3,3,3.488,1,0.74
301,99,2,3,2,3.288,0,0.64
296,95,2,3,2,3.016,1,0.44
294,93,1,1.5,2,2.944,0,0.46
312,105,3,2,3,3.208,1,0.5
340,120,4,5,5,3.8,1,0.96
320,110,5,5,4.5,3.688,1,0.92
322,115,5,4,4.5,3.744,1,0.92
340,115,5,4.5,4.5,3.78,1,0.94
319,103,4,4.5,3.5,3.464,0,0.76
315,106,3,4.5,3.5,3.368,0,0.72
317,107,2,3.5,3,3.312,0,0.66
314,108,3,4.5,3.5,3.256,0,0.64
316,109,4,4.5,3.5,3.504,1,0.74
318,106,2,4,4,3.168,1,0.64
299,97,3,5,3.5,3.064,0,0.38
298,98,2,4,3,3.212,0,0.34
301,97,2,3,3,3.152,1,0.44
303,99,3,2,2.5,3.064,0,0.36
304,100,4,1.5,2.5,3.136,0,0.42
306,100,2,3,3,3.2,0,0.48
331,120,3,4,4,3.584,1,0.86
332,119,4,5,4.5,3.696,1,0.9
323,113,3,4,4,3.552,1,0.79
322,107,3,3.5,3.5,3.384,1,0.71
312,105,2,2.5,3,3.248,0,0.64
314,106,2,4,3.5,3.3,0,0.62
317,104,2,4.5,4,3.388,0,0.57
326,112,3,3.5,3,3.62,1,0.74
316,110,3,4,4.5,3.512,1,0.69
329,111,4,4.5,4.5,3.672,1,0.87
338,117,4,3.5,4.5,3.784,1,0.91
331,116,5,5,5,3.752,1,0.93
304,103,5,5,4,3.456,0,0.68
305,108,5,3,3,3.392,0,0.61
321,109,4,4,4,3.472,1,0.69
301,107,3,3.5,3.5,3.336,1,0.62
320,110,2,4,3.5,3.424,0,0.72
311,105,3,3.5,3,3.38,1,0.59
310,106,4,4.5,4.5,3.616,1,0.66
299,102,3,4,3.5,3.448,0,0.56
290,104,4,2,2.5,2.984,0,0.45
296,99,2,3,3.5,2.912,0,0.47
327,104,5,3,3.5,3.536,1,0.71
335,117,5,5,5,3.824,1,0.94
334,119,5,4.5,4.5,3.792,1,0.94
310,106,4,1.5,2.5,3.344,0,0.57
308,108,3,3.5,3.5,3.288,0,0.61
301,106,4,2.5,3,3.388,0,0.57
300,100,3,2,3,3.464,1,0.64
323,113,3,4,3,3.728,1,0.85
319,112,3,2.5,2,3.484,1,0.78
326,112,3,3.5,3,3.64,1,0.84
333,118,5,5,5,3.74,1,0.92
339,114,5,4,4.5,3.904,1,0.96
303,105,5,5,4.5,3.46,0,0.77
309,105,5,3.5,3.5,3.424,0,0.71
323,112,5,4,4.5,3.512,0,0.79
333,113,5,4,4,3.712,1,0.89
314,109,4,3.5,4,3.508,1,0.82
312,103,3,5,4,3.38,0,0.76
316,100,2,1.5,3,3.264,1,0.71
326,116,2,4.5,3,3.632,1,0.8
