University Name,Location,Type,Average Annual Fees (USD),Popular Courses,Academic Requirements,Test Score Requirements
Brandman University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
United States Coast Guard Academy,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Athens State University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
The Scripps Research Institute,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Eastern Florida State College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Western New England University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
King University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Georgia Gwinnett College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Trident University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Alliant International University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Mississippi Valley State University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Roosevelt University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
ITT Technical Institute,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Illinois Eastern Community Colleges,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Park University,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Icahn School of Medicine at Mount Sinai,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Utah Valley University,"Utah, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Wisconsin Lutheran College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Riverside Community College District,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Wake Forest Baptist Health,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Massachusetts Boston,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Florida Polytechnic University,"Florida, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Wagner College,"United States, United States",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Engineering Institute of Technology,"Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian Correspondence Schools,"Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian Catholic University,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Adelaide,"South Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian Defence Force Academy,"Australian Capital Territory, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian Lutheran College,"South Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian Maritime College,"Tasmania, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Australian National University,"Australian Capital Territory, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Avondale University,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Federation University Australia,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bond University,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Canberra,"Australian Capital Territory, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Charles Darwin University,"Northern Territory, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Central Queensland University,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Charles Sturt University,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Curtin University,"Western Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Deakin University,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Edith Cowan University,"Western Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Flinders University of South Australia,"South Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Griffith University,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Holmes Institute,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Blue Mountains Hotel School,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
International College of Tourism and Hotel Management,"Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"Institute Of Technology, Australia","Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
James Cook University of North Queensland,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
La Trobe University,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Marcus Oldham College,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Monash University,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Macquarie University,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Murdoch University,"Western Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Notre Dame Australia,"Western Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Newcastle,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Batchelor Institute of Indigenous Tertiary Education,"Northern Territory, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Queensland University of Technology,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Royal Melbourne Institute of Technology,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
South Metropolitan TAFE,"Western Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Southern Cross University,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Swinburne University of Technology,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of New England,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Melbourne,"Victoria, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of South Australia,"South Australia, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of New South Wales,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Wollongong,"New South Wales, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Queensland,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of the Sunshine Coast,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Southern Queensland,"Queensland, Australia",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
West Herts College,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Royal Holloway University of London,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Portsmouth,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Futureworks,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of the Arts London,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Aberdeen,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aberystwyth University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Abertay Dundee,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
American InterContinental University - London,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anglia Ruskin University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aston University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
The American University in London,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"University of Wales, Bangor","United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bath,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bath Spa University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"Birkbeck College, University of London","United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
British College of Osteopathic Medicine,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Birmingham City University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bedfordshire,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Birmingham,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bolton,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bournemouth University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bradford,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
London School of Jewish Studies,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bristol,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Oxford Brookes University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Brunel University Uxbridge,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Brighton,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Buckingham,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Buckinghamshire New University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Cambridge,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Camberwell College of Arts,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Canterbury Christ Church University,"Canterbury, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Cardiff University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chelsea College of Art and Design,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Chester,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
City University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"Courtauld Institute of Art, University of London","United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Coventry University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Cranfield University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Central Saint Martins College of Art & Design,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Derby,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
De Montfort University Leicester,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Dundee,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Durham,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Edge Hill University,"United Kingdom, United Kingdom",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Toronto Baptist Seminary and Bible College,"Ontario, Canada",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Cégep de Saint-Jérôme,"Quebec, Canada",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lambton College,"Ontario, Canada",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
